date,call_pairs_tested,call_violations,call_violation_rate,put_pairs_tested,put_violations,put_violation_rate,year,call_rate_30d,put_rate_30d
2000-12-20,847,22,0.025974025974025976,1056,0,0.0,2000,0.004401780479589167,0.0041591490955060545
2000-12-21,649,2,0.0030816640986132513,1176,0,0.0,2000,0.004250049690000957,0.0041591490955060545
2000-12-22,566,1,0.0017667844522968198,544,0,0.0,2000,0.004174533902926981,0.0041591490955060545
2000-12-26,230,0,0.0,312,0,0.0,2000,0.004174533902926981,0.0041591490955060545
2000-12-27,661,0,0.0,468,0,0.0,2000,0.004028761308174794,0.0041591490955060545
2000-12-28,308,0,0.0,447,0,0.0,2000,0.004028761308174794,0.0024312873244477394
2000-12-29,211,0,0.0,519,0,0.0,2000,0.004028761308174794,0.0003600899134445032
2001-01-02,559,0,0.0,742,0,0.0,2001,0.004028761308174794,0.0003600899134445032
2001-01-03,763,0,0.0,1339,0,0.0,2001,0.004028761308174794,0.0003600899134445032
2001-01-04,708,4,0.005649717514124294,668,0,0.0,2001,0.00421708522531227,0.0003600899134445032
2001-01-05,516,0,0.0,1170,0,0.0,2001,0.00421708522531227,0.0003600899134445032
2001-01-08,658,0,0.0,645,0,0.0,2001,0.0039337991063321,0.0003600899134445032
2001-01-09,319,0,0.0,674,0,0.0,2001,0.0039337991063321,0.0003600899134445032
2001-01-10,405,0,0.0,433,0,0.0,2001,0.0039337991063321,0.0003600899134445032
2001-01-11,501,0,0.0,1020,0,0.0,2001,0.0039337991063321,0.0003600899134445032
2001-01-12,512,1,0.001953125,451,0,0.0,2001,0.003998903272998767,0.0003600899134445032
2001-01-16,342,0,0.0,539,0,0.0,2001,0.0039036651777606722,0.0003600899134445032
2001-01-17,533,2,0.00375234521575985,618,5,0.008090614886731391,2001,0.004028743351619334,0.0006297770763355495
2001-01-18,358,0,0.0,493,0,0.0,2001,0.004028743351619334,0.0006297770763355495
2001-01-19,462,0,0.0,525,0,0.0,2001,0.003870013192889175,0.0005899998289210707
2001-01-22,324,0,0.0,529,0,0.0,2001,0.003870013192889175,0.0005899998289210707
2001-01-23,377,0,0.0,509,0,0.0,2001,0.003679537002412984,0.0005899998289210707
2001-01-24,612,0,0.0,941,0,0.0,2001,0.0018919449940007868,0.0004976637255046349
2001-01-25,404,0,0.0,664,0,0.0,2001,0.0018919449940007868,0.00039201132191245307
2001-01-26,319,0,0.0,416,0,0.0,2001,0.0018919449940007868,0.00026968716289104636
2001-01-29,234,0,0.0,369,0,0.0,2001,0.0016662113596892746,0.00026968716289104636
2001-01-30,375,0,0.0,506,0,0.0,2001,0.0016662113596892746,0.00026968716289104636
2001-01-31,421,0,0.0,919,0,0.0,2001,0.0014740884009957105,0.00026968716289104636
2001-02-01,401,0,0.0,574,0,0.0,2001,0.0014740884009957105,0.00026968716289104636
2001-02-02,260,0,0.0,636,0,0.0,2001,0.001405922075160673,0.00026968716289104636
2001-02-05,316,0,0.0,420,0,0.0,2001,0.0005401212093598071,0.00026968716289104636
2001-02-06,373,0,0.0,595,0,0.0,2001,0.00043739907273936547,0.00026968716289104636
2001-02-07,429,0,0.0,365,0,0.0,2001,0.0003785062576628048,0.00026968716289104636
2001-02-08,392,0,0.0,484,0,0.0,2001,0.0003785062576628048,0.00026968716289104636
2001-02-09,670,11,0.016417910447761194,457,0,0.0,2001,0.0009257699392548446,0.00026968716289104636
2001-02-12,313,0,0.0,519,0,0.0,2001,0.0009257699392548445,0.00026968716289104636
2001-02-13,281,2,0.0071174377224199285,371,0,0.0,2001,0.001163017863335509,0.00026968716289104636
2001-02-14,558,0,0.0,1160,0,0.0,2001,0.001163017863335509,0.00026968716289104636
2001-02-15,137,0,0.0,394,0,0.0,2001,0.001163017863335509,0.00026968716289104636
2001-02-16,638,2,0.003134796238244514,469,0,0.0,2001,0.0010791871541395162,0.00026968716289104636
2001-02-20,509,4,0.007858546168958742,386,0,0.0,2001,0.0013411386931048075,0.00026968716289104636
2001-02-21,495,24,0.048484848484848485,973,0,0.0,2001,0.0029573003092664236,0.00026968716289104636
2001-02-22,725,1,0.001379310344827586,946,0,0.0,2001,0.0030032773207606766,0.00026968716289104636
2001-02-23,730,3,0.00410958904109589,1400,0,0.0,2001,0.0031402636221305397,0.00026968716289104636
2001-02-26,467,0,0.0,540,0,0.0,2001,0.0031402636221305397,0.00026968716289104636
2001-02-27,622,0,0.0,468,0,0.0,2001,0.0030751594554638733,0.00026968716289104636
2001-02-28,374,0,0.0,825,0,0.0,2001,0.0030751594554638733,0.00026968716289104636
2001-03-01,815,0,0.0,985,0,0.0,2001,0.0029500812816052116,0.0
2001-03-02,408,1,0.0024509803921568627,629,0,0.0,2001,0.00303178062801044,0.0
2001-03-05,250,0,0.0,512,0,0.0,2001,0.00303178062801044,0.0
2001-03-06,399,0,0.0,568,0,0.0,2001,0.00303178062801044,0.0
2001-03-07,261,0,0.0,409,0,0.0,2001,0.00303178062801044,0.0
